Link,Document Title,Document Body
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/mfg_gen_cam_express,NX CAM/Solid Edge CAM Pro,"The NX CAM/Solid Edge CAM Pro module provides all the tools you need to complete straight forward manufacturing tasks. Fewer commands appear on the Ribbon bar and menus. Command names and descriptions are included for all commands on the Ribbon bar. If you are new to NX or do not use NX regularly, consider using NX CAM/Solid Edge CAM Pro."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid667185,Using NX CAM/Solid Edge CAM Pro associatively with other CAD systems,"NX CAM/Solid Edge CAM Pro can maintain associativity of CAM operations to design files that are revised. This works for files from Solid Edge and other CAD products.
It is a best practice for designers to replace as little geometry as possible when they modify designs. If a designer deletes existing geometry and creates new geometry, increased associativity failures will occur. Associativity fails when:
Faces from the original design are replaced with new ones.
The part has new geometry that did not exist in the original design.
When associativity fails, to correct it, you must re-select the geometry for the geometry group or for individual operations."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid1007893,Transferring complete geometry from Solid Edge to NX,"Manufacturing customer defaults filter the geometry that is transferred to NX when you launch NX CAM/Solid Edge CAM Pro from a Solid Edge part file or open a Solid Edge part file for the Manufacturing application. These default settings are used in Solid Edge by the NX CAM/Solid Edge CAM Pro command, and in NX by the Open Solid Edge File for CAM command.
Load Construction Geometry
Load CAM hole Information
Load Design Parts Only
These defaults override the settings in Preferences→Data Interoperability→Solid Edge.
Tip:
To find a customer default, choose File tab→Utilities→Customer Defaults, and click Find Default .
To transfer planes or other construction geometry, activate the Load Construction Geometry customer default. If the Solid Edge part file is already loaded in your NX session:
In the Assembly Navigator, right click the part and choose Properties.
In the Displayed Part Properties dialog box, on the Interoperability tab, click Update from File."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid1456935,NX CAM/Solid Edge CAM Pro compatibility with Solid Edge,"The following table shows the Solid Edge Connection compatibility between Solid Edge and NX CAM/Solid Edge CAM Pro.
NX CAM/Solid Edge CAM Pro version
Solid Edge version
Notes
NX 2506
Solid Edge 2024
NX 2312
Solid Edge 2024
NX 2306
Solid Edge 2023
NX 2212
Solid Edge 2023
NX 2206
Solid Edge 2022
NX 2007
Solid Edge 2022
NX 1961
Solid Edge 2021
NX 1876
Solid Edge 2020
NX 12.0.2
Solid Edge 2019
CAM Express version
Solid Edge version
Notes
NX 12.0
NX 11.0.2 MP3
Solid Edge ST10
Solid Edge ST9
NX 11.0.1
Solid Edge ST9
Solid Edge ST8
NX 11.0.0 MP1
Solid Edge ST9
Solid Edge ST8
NX 10.0.3 MP9
Solid Edge ST9
Solid Edge ST8
NX 10.0.2
Solid Edge ST8
Solid Edge ST7
NX 9.0.3 MP8
Solid Edge ST8
Solid Edge ST7
NX 10.0
Solid Edge ST7
Solid Edge ST6
NX 9.0.3 MP2
Solid Edge ST7
Solid Edge ST6
DLLs are also available as a download from Customer Support.
NX 9.0
Solid Edge ST6
Solid Edge ST5
NX 8.5.3
Solid Edge ST6
Solid Edge ST5
NX 8.5
Solid Edge ST5
Solid Edge ST4
NX 8.0.3
Solid Edge ST5
Solid Edge ST4
NX 8.0.2
Solid Edge ST5
Import plmxml adapter and install in UGII directory
NX 8.0
Solid Edge with Synchronous Technology 4 (ST4)
Solid Edge with Synchronous Technology 3 (ST3)
NX 7.5.5
Solid Edge with Synchronous Technology 4 (ST4)
Solid Edge with Synchronous Technology 3 (ST3)
DLLs that support compatibility for NX NX CAM/Solid Edge CAM Pro7.5.3.3 are available
NX 7.5.2
Solid Edge with Synchronous Technology 3 (ST3)
Solid Edge with Synchronous Technology 2 (ST2)
NX 7.5.0.32
Solid Edge with Synchronous Technology 2 (ST2)
Solid Edge with Synchronous Technology (ST)
NX 7.0.0.9
Solid Edge with Synchronous Technology 2 (ST2)
Solid Edge with Synchronous Technology (ST)
NX 6.0.4
Solid Edge with Synchronous Technology 2 (ST2)
Solid Edge with Synchronous Technology (ST)
UGII_USE_SE_ST2_ADAPTER=1
NX 6.0.0.25
Solid Edge with Synchronous Technology
Solid Edge V20
NX 5.0.5
Solid Edge V20
Solid Edge V19
NX 4.0.3
Solid Edge V19"
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/id947517,Examining a manufacturing part,"Before you can create a manufacturing plan, you must examine your part model to collect the relevant data. The manufacturing plan would include:
The machine tool type and its capabilities
Cutting tools and holding fixtures:
Number of cutting tools
Type of cutting tools, for example, drill, reamer, mill
Cutting tool parameters
The process for rough and finish machining:
Number of operations needed to manufacture the part
Correct operation sequence
Stock requirements
The information required to specify the correct cutting tools and tool parameters:
Corner radius
Filet radius
Draft
Cut levels
Hole diameters
Tolerances
The minimum distance between clamps and part walls or fixtures
Tool axis
The information required to specify the correct stock requirements, such as the material type, tolerances and surface finishes."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/id952217,Analysis and information commands for Manufacturing parts,"There are different commands to find the different types of part information for Manufacturing.
Tool criteria such as lengths, diameters, corner radii, and taper angles.
Distance between part walls and clamps or fixtures.
Analyze the part with NC Assistant.
Menu→Analysis→NC Assistant
Measure the distance.
Analysis tab→Measure Distance
Parameters of a modeled hole.
Parameters such as part tolerances, hole diameters, and finish requirements.
View information for the selected geometry.
Choose Menu→Information→Object.
Create a spreadsheet of all Product and Manufacturing Information (PMI) associated with the part or selected geometry.
Menu→Information→PMI→Report
Find all PMI that reference the selected geometry.
Menu→Information→PMI→Find PMI Associated to Geometry
Inflections, variations, and defects on faces.
Pull directions for molds.
Analyze the curvature.
Analysis tab→Shape→Radius
Analyze the surface normals.
Analysis tab→Shape→Slope
Differences between two versions of the same part.
Compare the two bodies.
Analysis tab→Compare Body"
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/mainmenu_mainmenu_nc_assis,NC Assistant,"Use the NC Assistant command to collect the data necessary to machine your part. You can determine:
Corner radii between walls using the Corners option.
Use this option to help select tool diameters.
Corner radii between floors and walls using the Blends option.
Use this option to help select mill tool corner radii.
Wall taper angles using the Draft option.
Use this option to help select mill tool taper angles.
Cut depths using the Levels option.
Use this option to help select tool lengths, and to group common levels together for cutting.
Corners
Blends
Draft
Levels
The analysis information is displayed using face colors on the shaded model and text in the Information window.
Analysis type: Draft
# Color
Number of faces
Angle
212 Deep Cobalt
11
-90.0000000
29 Strong Green
16
-14.0019421
Strong Magenta
4
5.50000000
Color-coded model with sample Information window text
Where do I find it?
Application
Manufacturing
Prerequisite
You must have a part file open that contains model geometry.
Command
NC Assistant"
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/mainmenu_mainmenu_nc_assis_proc,Examine raw stock and part geometry using NC Assistant,"This example shows how to use the NC Assistant command to guide you to determine required tool lengths.
Open a file that contains the part geometry.
Choose Application tab→Manufacturing .
Choose Home tab →Analysis group→NC Assistant .
Orient your geometry to a view that allows you to select the faces to be analyzed.
In the NC Assistant dialog box, in the Faces to Analyze group, Select Faces is active.
Select the faces to be analyzed.
For this example, the entire blank stock and part are selected.
In the Analysis Type group, from the Analysis Type list, select Levels.
Because this option recognizes the depths of all planar levels in the part, it helps you to identify the correct length of the tools for machining the part.
In the Reference Vector group, from the Specify Vector list, select ZC Axis.
In the Reference Plane group, from the Specify Plane list, select Inferred.
In the graphics window, select the face to be referenced as a plane that is equal to zero.
Tip:
If you are working in an assembly, make sure that the Selection Scope list is set to Entire Assembly on the Top Border bar.
In the Limits group, enter values for Minimum Level and Maximum Level:
Minimum Level = –3.75
Maximum Level = 0.0
In this example, the overall height of the blank stock is 3.75 and no geometry lies above the reference plane.
In the Tolerances group, enter values in the Distance and Angle boxes.
These values set the tolerance range within which the software recognizes geometry.
In the Actions group, click Analyze Geometry to display colors on the faces that were analyzed.
In the Results group, select the Save Face Colors on Exit check box.
This ensures that the analysis colors on the faces are saved with the part. This provides a visual cue of the results so that you do not have to repeat the analysis later.
Click Information to view additional data on the faces that were analyzed.
Click OK."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/mainmenu_mainmenu_nc_assis_dia,NC Assistant dialog box,"Faces to Analyze
Select Faces
Lets you select the faces to analyze. If the graphics window displays only a single solid, then the software selects all of the faces of that solid when the dialog box opens.
Analysis Type
Analysis Type
Specifies the type of geometry to analyze. You can specify tolerances to restrict the area of the geometry to analyze.
Levels
Recognizes the depths of all planar levels in the part. This option can help you to identify the correct tool lengths.
Corners
Recognizes radii along the part walls. This option can help you to identify the correct tool diameters.
Blends
Recognizes fillet and floor radii. This option can help you to determine the correct tool corner radii.
Draft
Recognizes wall angles. This option can help you to determine the taper angle requirements for an end mill.
Reference Vector
Specify Vector
Lets you specify a vector direction to determine which side of the part the software should analyze and display.
Reference Plane
Specify Plane
Lets you specify a plane that is equal to zero. The software measures the tolerances and limits from this plane when analyzing and categorizing the levels and corner radii of the part.
Limits
Minimum Level/Maximum Level
Set the minimum and maximum values for the range within which the levels, radii, and angles are analyzed and displayed.
For example, if you analyze levels with a minimum level of –100 inches, and a maximum level of 100 inches, the software analyzes and displays only those faces that are within this range.
Tolerances
Distance/ Radius/Angle
Define the tolerance range for the analysis type you select.
For example, you select Levels, then enter 0.0100 in the Distance box and enter 0.01000 in the Angle box.
The software recognizes all the faces within a distance of 0.0100 to each other and within an angle of 0.0100 of a degree to the specified reference plane/vector as an individual category, and displays them in the same color.
Note:
Distance measurements are in the part units.
Angle measurements are in degrees.
Results
Save Face Colors on Exit
Changes the display color of each face to the color shown in the analysis when you close the dialog box.
Information
Lists the analysis results in the Information window.
Tip:
To ensure that you get the latest information, click Analyze Geometry before you click Information.
Actions
Analyze Geometry
Displays the colored analysis results in the graphics window."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/setup_setup,Creating a Manufacturing setup,"The setup process creates a manufacturing assembly and adds data related to machining your part. With a setup you save the full machining environment. The setup:
Is initialized from pre-defined setup parts (templates) in a CAM session.
The template selected determines which operation types and subtypes are available.
Stores all of your CAM data in a file. The setup can be in the same file as the part you are cutting, or in a separate assembly file.
Consists of all operations, their resulting tool paths, and the environment in which the operations are created. This includes programs and parameters for tooling, geometry and cutting methods.
Promotes standardization as it can be saved as a template and reused.
The setup starts with a part model. The requirements vary with part complexity:
Simple parts may not need additional geometry for programming purposes.
You can add a setup to the part file to create a simple setup file. (non-assembly)
More complex parts may need a fixture to add clarification.
Create a setup assembly file that references the geometry to machine as a component. This is the recommended approach, and lets you add the blank, clamps, tooling, or other components as needed.
Very complex parts may need machine tools and NX Machine Tool Simulation (NX MTS) as part of the setup. You may need to stop for inspections, heat treatments or other non-machining steps, to rotate the part to machine a different side, or move the part to a different machine.
If necessary, you can create multiple setups for the different machining conditions.
Simple setup assembly
Moderately complex setup assembly
Complex setup assembly"
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/setup_setup_init_setup,Initializing the CAM setup,"How you create the CAM setup depends on whether you are in a native NX or Teamcenter environment.
In native NX, there are several ways to create the CAM setup for your part:
Open the part to machine, then let the software create the setup assembly. This is the easiest and recommended approach.
For more control over how the part is initially positioned in the assembly, open the part to machine and:
Choose File tab→New→Model tab→Assembly. Add the part to machine as a component and position it. Make the assembly the work part, then start Manufacturing.
If the part does not require a setup assembly, you can create a setup in the file containing the part to machine.
If you want to add the part to machine later, create an empty setup assembly. Either:
Choose File tab→New→Manufacturing tab→Blank.
Choose File tab→New→Model tab→Assembly, then start Manufacturing.
Note:
If + ZM is not oriented correctly for your part, either:
Go to Assemblies and reorient the component.
Reorient the MCS.
If you are in a Teamcenter environment, or if your configuration includes a LIBRARY_SETUP_TEMPLATE, such as cam_library, then the software classifies and retrieves the setups through NX Library. See Data Management for more information.
Note:
Do not switch between Teamcenter and native NX during a session. Start Manufacturing in either Teamcenter or native NX, with the matching CAM configuration specified.
To work in both environments, you must have two ways to start Manufacturing, so that the matching CAM configuration is already specified. This can be done with batch files, or with multiple .env files.
After you initialize the setup:
Rename or create additional programs to manage your operations (roughing vs. finishing).
Retrieve tools from the library or create new tools.
Define geometry (workpiece, MCS, boundaries).
Use existing methods or create new ones.
Where do I find it?
Application
Manufacturing
Prerequisite
You need an NX model to reference that contains the part geometry.
Menu
File tab→New→Model→Assembly
File tab→New→Manufacturing→Blank
Application tab→Manufacturing
Resource bar
Manufacturing – Express palette, a custom palette, or the NX CAM/Solid Edge CAM Pro home page
Location in dialog box
New dialog box→Manufacturing tab"
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/initialize_cam-file_new,Create a manufacturing setup assembly automatically,"You can let NX create the manufacturing setup assembly for you.
This procedure creates a new general setup assembly.
Open the part that you want to machine.
Choose File tab→New.
In the New dialog box, click the Manufacturing tab.
In the Templates group, from the Units list, select the units for the NC output.
From the Relationship list, select Reference Existing Part.
From the Templates list, select General Setup.
Other available setups include a set of express setups, and the Simulation Dual Table Sinumerik setup.
In the Part to Reference group, click Browse .
In the Select master part dialog box, from the Loaded Parts list, select the part to be machined and click OK.
In the New dialog box, in the New File Name group, in the Name box, NX appends _setup_1 to the name of the part to be machined.
You can also navigate to a part file by clicking Open .
Click OK.
NX does the following:
Creates a CAM setup with:
The NC_PROGRAM parent and a program node, for example 1234.
The applicable Method parents, for example MILL_ROUGH, MILL_SEMI_FINISH, and so on.
The Geometry parents, for example MCS_MILL and WORKPIECE.
The GENERIC_MACHINE parent, and a CARRIER node with 30 pocket nodes.
Adds the referenced part to the setup part as a component.
You can add a blank, clamps, and other components as needed.
Tip:
To create multiple setups for the same work part, choose File tab→New again and repeat the steps shown. NX names the new setups _setup_2, _setup_3, and so on. Each new setup references the same part file."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid1601695,Hands-on: Create and edit a manufacturing setup assembly,"Click here to download the part.
This hands-on procedure shows you how to use a setup template to create a manufacturing setup assembly that includes a design part.
Next step
> 1 Create a manufacturing setup"
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid1601692,1 Create a manufacturing setup,"Unzip and open model1.prt.
Make sure you are in the CAM Advanced role.
Resource bar→Roles tab →Content - Industry Specific folder→CAM Advanced .
Choose File tab→New .
In the New dialog box, select the Manufacturing tab.
In the Filters group, from the Relationship list, select Reference Existing Part.
From the Units list, select Millimeters.
Note:
You are working with a metric part. If you set the Units to Inches when you create the template, you will get a warning that the units will change.
View the manufacturing templates in the list. When you select a template name, the template displays in the Preview group.
The General Setup template can be used when you need a simple CAM setup for general machining.
The Sim** templates are a group of machine simulation templates with specific machines and controls included.
In the New File Name group, in the Folder row, confirm that the default folder is where your part files are located.
Tip:
If necessary, click and browse to the folder where your part files are located, then click OK to save the location.
In the Templates list, select General Setup.
Notice that in the New File Name group, the Name and Folder boxes are filled in.
In the Name box, the suffix _setup_1 is added to the original file name by default.
In the Part to reference group, the Name box shows the default part file you have open. You can browse for another part file if you want to base the template on it instead.
Click OK.
NX creates the manufacturing assembly, loads the manufacturing templates, creates the default object groups, and starts the Manufacturing application.
To view the manufacturing assembly structure, click the Assembly Navigator tab on the Resource bar. The top level assembly is named model1_setup_1. The model1 design part is a child component of the assembly and may be write-protected.
Sections
model1_setup_1
model1
Next step
> 2 Examine the manufacturing views"
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid1601693,2 Examine the manufacturing views,"When you create a CAM manufacturing setup, NX automatically creates the four manufacturing views for managing the objects you use when you create toolpaths.
The following manufacturing views are in your CAM setup assembly:
Program Order View
Machine Tool View
Geometry View
Machining Method View
To see the manufacturing views, click the Operation Navigator tab on the Resource bar.
Right-click in the background of the Operation Navigator and choose Program Order View .
The NC_PROGRAM, Unused Items, and 1234 object groups have been created.
NC_PROGRAM
Unused Items
1234
Later in the activity, give the 1234 program object group folder a more meaningful name.
As you create operations, you use the program groups to store your tool paths, according to type and in the order are postprocessed.
Right-click in the background of the Operation Navigator and choose Machine Tool View .
Right-click in the background of the Operation Navigator and choose Expand All.
The GENERIC_MACHINE, Unused Items, CARRIER, and thirty pocket object groups have been created.
GENERIC_MACHINE
Unused Items
CARRIER
     POCKET_01
     POCKET_02
     POCKET_03
Right-click in the background of the Operation Navigator and choose Geometry View .
Right-click in the background of the Operation Navigator and choose Expand All.
The GEOMETRY, Unused Items, MCS_MILL, and WORKPIECE object groups have been created.
GEOMETRY
     Unused Items
     MCS_MILL
         WORKPIECE
Right-click in the background of the Operation Navigator and choose Machining Method View .
The METHOD, Unused Items, and several method object groups have been created.
METHOD
     Unused Items
     MILL_ROUGH
     MILL_SEMI_FINISH
     MILL_FINISH
     DRILL_METHOD
Next step
> 3 Examine the operation subtypes"
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid1601694,3 Examine the operation subtypes,"Choose Home tab→Insert group→Create Operation .
From the Type list, select mill_contour.
The Operation Subtype group shows the options for the mill_contour type.
In the Create Operation dialog box, click Cancel.
Choose Home tab→Insert group→Create Tool .
Notice the Tool Subtype options that are available. The available options are determined by the Type option that you select in the Create Tool dialog box.
In the Create Tool dialog box, click Cancel.
Choose Home tab→Insert group→Create Geometry .
Notice the Geometry Subtype options that are available. The available options are determined by the Type option that you select in the Create Geometry dialog box.
In the Create Geometry dialog box, click Cancel.
Next step
> 4 Create program groups and orient the coordinate system"
